               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071765,            0.026568,                   0,             0.51344,             0.66486,             0.54985,              0.2442,            0.041595,            0.012481,                   0,            0.070106,           0.0033216,           0.0033216
                   1,            0.048701,            0.018497,                   0,             0.67212,             0.82973,             0.76194,             0.39554,            0.036572,            0.009144,                   0,            0.039666,           0.0062157,           0.0062157
                   2,            0.042316,            0.015971,                   0,             0.82621,             0.87371,             0.90244,             0.41434,            0.041825,           0.0079107,                   0,           0.0087872,           0.0086698,           0.0086698
                   3,            0.037785,            0.015048,                   0,             0.87197,             0.84324,             0.90498,              0.5034,            0.030118,           0.0086064,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.035364,            0.014459,                   0,             0.89357,             0.88829,             0.93713,             0.54512,            0.029499,           0.0077184,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.032549,            0.014038,                   0,             0.94711,             0.91958,             0.97055,             0.60125,            0.025269,           0.0073118,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.030946,             0.01367,                   0,             0.93021,             0.92162,             0.96337,             0.59919,            0.025915,           0.0073916,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.028862,            0.013112,                   0,             0.95289,             0.94054,             0.97189,             0.63201,            0.025054,           0.0068679,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.028365,             0.01253,                   0,             0.95505,             0.95045,             0.97674,             0.64501,            0.023989,           0.0067986,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.027445,            0.012553,                   0,             0.95425,             0.95833,             0.97988,             0.65294,            0.023517,           0.0066569,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.026215,            0.012206,                   0,             0.96222,             0.96126,             0.98241,             0.66945,            0.023011,           0.0065963,                   0,             0.00406,             0.00406,             0.00406
                  11,             0.02589,            0.011744,                   0,             0.95251,             0.95768,             0.98139,             0.66829,            0.022728,           0.0065054,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.025053,            0.011441,                   0,             0.96828,             0.96255,             0.98293,             0.68445,            0.022276,             0.00626,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.024421,            0.011717,                   0,             0.96157,             0.96918,             0.98414,             0.67164,            0.022479,           0.0063598,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.023144,            0.011312,                   0,             0.97024,             0.96919,             0.98432,             0.68809,            0.021826,           0.0062349,                   0,             0.00142,             0.00142,             0.00142
